Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM DD),Location,Attribute
C,10022,ACCT,405,502,CS,3,INCOME TAX(Syllabus),TR,11:10 am to 12:25 pm,28,36, to 8,Sean T. McGuire(P),01 17 to 05 08,WCBA 462,N A
C,10022,ACCT,405,502,CS,3,INCOME TAX(Syllabus),T,07:15 pm to 09:00 pm,28,36, to 8,Sean T. McGuire(P),03 06 to 03 06,TBA,N A
C,25065,ACCT,405,503,CS,3,INCOME TAX(Syllabus),TR,12:45 pm to 02:00 pm,28,35, to 7,Sean T. McGuire(P),01 17 to 05 08,WCBA 462,N A
C,25065,ACCT,405,503,CS,3,INCOME TAX(Syllabus),T,07:15 pm to 09:00 pm,28,35, to 7,Sean T. McGuire(P),03 06 to 03 06,TBA,N A
C,10023,ACCT,405,504,CS,3,INCOME TAX(Syllabus),MW,08:00 am to 09:15 am,28,29, to 1,Morgan E. Clarke(P),01 17 to 05 08,WCBA 105,N A
C,10024,ACCT,405,505,CS,3,INCOME TAX(Syllabus),MW,09:35 am to 10:50 am,28,32, to 4,Morgan E. Clarke(P),01 17 to 05 08,WCBA 105,N A
C,10025,ACCT,405,506,CS,3,INCOME TAX(Syllabus),MW,11:10 am to 12:25 pm,28,36, to 8,Morgan E. Clarke(P),01 17 to 05 08,WCBA 105,N A
C,10026,ACCT,405,507,CS,3,INCOME TAX(Syllabus),TR,12:45 pm to 02:00 pm,28,33, to 5,Kevin Roach(P),01 17 to 05 08,WCBA 104,N A
NR,12542,ACCT,407,901,CS,3,AUDITING(Syllabus),TR,09:35 am to 10:50 am,30,27,3,Michelle C. Diaz(P),01 17 to 05 08,WCBA 106,Univ Req to Writing Intensive
NR,12543,ACCT,407,902,CS,3,AUDITING(Syllabus),TR,02:20 pm to 03:35 pm,30,17,13,James C. Flagg(P),01 17 to 05 08,WCBA 111,Univ Req to Writing Intensive
NR,10028,ACCT,410,500,CS,3,FRAUD EXAMINATION(Syllabus),TR,03:55 pm to 05:10 pm,40,32,8,Tim D. Torno(P),01 17 to 05 08,WCBA 105,N A
C,18604,ACCT,421,931,CS,2,CRITICAL COMM ACCT(Syllabus),TR,12:45 pm to 02:00 pm,40,50, to 10,Courtney E. Foster(P) Mary K. Stasny,01 17 to 05 08,WCBA 155,NonTraditional Format Approved and Univ Req to Oral Communication
C,18605,ACCT,421,932,CS,2,CRITICAL COMM ACCT(Syllabus),TR,02:20 pm to 03:35 pm,40,54, to 14,Courtney E. Foster(P) Mary K. Stasny,01 17 to 05 08,WCBA 155,NonTraditional Format Approved and Univ Req to Oral Communication
C,27391,ACCT,421,933,CS,2,CRITICAL COMM ACCT(Syllabus),TR,03:55 pm to 05:10 pm,40,54, to 14,Courtney E. Foster(P) Mary K. Stasny,01 17 to 05 08,WCBA 155,NonTraditional Format Approved and Univ Req to Oral Communication
C,10029,ACCT,427,501,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),MWF,08:00 am to 08:50 am,45,50, to 5,Tara N. Blasor(P),01 17 to 05 08,WCBA 155,N A
C,10029,ACCT,427,501,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),R,07:15 pm to 09:15 pm,45,50, to 5,Tara N. Blasor(P),03 08 to 03 08,TBA,N A
C,10030,ACCT,427,502,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),MWF,09:10 am to 10:00 am,45,47, to 2,Tara N. Blasor(P),01 17 to 05 08,WCBA 155,N A
C,10030,ACCT,427,502,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),R,07:15 pm to 09:15 pm,45,47, to 2,Tara N. Blasor(P),03 08 to 03 08,TBA,N A
C,10031,ACCT,427,503,CS,3,ACCT & FIN INFO SYSTEMS(Syllabus),MWF,10:20 am to 11:10 am,45,51, to 6,Tara N. Blasor(P),01 17 to 05 08,WCBA 155,N A
